School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2018-19 Learning Network,2019-20 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI/Dual Score,AP/IB/NOCTI/Dual Denom,AP/IB/NOCTI/Dual Pts Earn,AP/IB/NOCTI/Dual Pts Poss,AP/IB/NOCTI/Dual Pct Earn,AP/IB/NOCTI/Dual Tier,AP/IB/NOCTI/Dual (Participants) Score,AP/IB/NOCTI/Dual (Participants) Denom,AP/IB/NOCTI/Dual (Non-Participants) Score,AP/IB/NOCTI/Dual (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect MMS Dist Score,Teach Effect MMS Prof Score,Teacher Attendance Score,Student Survey Teaching Score
Building 21,561,5610,HS,High School,6501 Limekiln Pike,Philadelphia,PA,19138,215-400-7450,215-400-7451,District,N/A,335,philasd.org/building21,'9-12',Citywide,HS-1,Innovation,Innovation,,26,21.25,82.50,WATCH,8th out of 19,57th out of 85,0,0.05,28.50,INTERVENE,8th out of 14,62nd out of 72,27,6.37,24.00,WATCH,9th out of 19,61st out of 85,55,10.99,20.00,REINFORCE,8th out of 19,53rd out of 85,38,3.84,10.00,WATCH,6th out of 19,40th out of 82,1,203,0.00,8.00,0,INTERVENE,1,85,0,203,0.00,1.50,0,INTERVENE,0,77,0.00,8.00,0,INTERVENE,0,77,0.00,1.50,0,INTERVENE,18,121,0.00,8.00,0,INTERVENE,1,121,0.05,1.50,3,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.72,0.00,6.50,0,INTERVENE,-6.23,0.00,6.50,0,INTERVENE,1.64,5.72,6.50,88,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.30,0.65,1.50,43,WATCH,-1.04,0.00,1.50,0,INTERVENE,-1.10,0.00,1.50,0,INTERVENE,30,364,1.64,8.00,20,INTERVENE,27,364,15,364,7,364,21,364,89,291,6.00,6.00,100,MODEL,100,364,0.50,0.50,100,MODEL,88,364,1.52,2.50,61,REINFORCE,48,0.48,1.00,48,WATCH,74,0.74,1.00,74,REINFORCE,15,0.12,1.00,12,INTERVENE,88,74,2.31,4.50,51,REINFORCE,47,66,0.60,1.50,40,WATCH,13,69,0.08,1.00,8,INTERVENE,16,69,71,69,3,69,0.00,1.00,0,INTERVENE,94,69,3,69,57,69,0.63,1.00,63,REINFORCE,22,0.22,1.00,22,INTERVENE,0,89,45,42
The U School,562,5620,HS,High School,2000 N. 7th St.,Philadelphia,PA,19122,215-400-7460,215-400-7461,District,N/A,255,philasd.org/uschool,'9-12',Citywide,HS-1,Innovation,Innovation,,13,12.15,90.50,INTERVENE,16th out of 19,78th out of 85,0,0.00,28.50,INTERVENE,14th out of 14,72nd out of 72,18,5.74,32.00,INTERVENE,14th out of 19,74th out of 85,20,4.07,20.00,INTERVENE,17th out of 19,81st out of 85,23,2.34,10.00,INTERVENE,10th out of 19,56th out of 82,1,145,0.00,8.00,0,INTERVENE,0,47,0,145,0.00,1.50,0,INTERVENE,0,50,0.00,8.00,0,INTERVENE,0,50,0.00,1.50,0,INTERVENE,6,86,0.00,8.00,0,INTERVENE,0,86,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.04,0.00,6.50,0,INTERVENE,-4.91,0.00,6.50,0,INTERVENE,-2.89,0.00,6.50,0,INTERVENE,88,131,4.74,8.00,59,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.93,0.97,1.50,64,REINFORCE,-1.35,0.00,1.50,0,INTERVENE,-0.94,0.03,1.50,2,INTERVENE,15,285,0.00,8.00,0,INTERVENE,26,285,18,285,13,285,28,285,79,219,2.40,6.00,40,WATCH,100,285,0.48,0.50,97,MODEL,79,285,0.78,2.50,31,WATCH,41,0.41,1.00,41,WATCH,0,0.00,1.00,0,INTERVENE,3,0.00,1.00,0,INTERVENE,77,56,0.32,4.50,7,INTERVENE,47,45,0.59,1.50,39,WATCH,17,46,0.18,1.00,18,INTERVENE,4,46,78,46,0,46,0.00,1.00,0,INTERVENE,98,46,2,46,80,46,1.00,1.00,100,MODEL,25,0.25,1.00,25,WATCH,18,82,68,37
The LINC,566,5660,HS,High School,122 W. Erie Ave.,Philadelphia,PA,19140,215-400-3940,215-400-3941,District,N/A,238,philasd.org/thelinc,'9-12',Citywide,HS-1,Innovation,Innovation,,16,15.02,92.00,INTERVENE,14th out of 19,76th out of 85,0,0.00,30.00,INTERVENE,14th out of 14,72nd out of 72,17,5.57,32.00,INTERVENE,15th out of 19,75th out of 85,40,8.09,20.00,WATCH,13th out of 19,69th out of 85,14,1.37,10.00,INTERVENE,11th out of 19,63rd out of 82,2,125,0.00,8.00,0,INTERVENE,4,48,0,125,0.00,1.50,0,INTERVENE,1,72,0.00,8.00,0,INTERVENE,0,72,0.00,1.50,0,INTERVENE,9,67,0.00,8.00,0,INTERVENE,0,67,0.00,1.50,0,INTERVENE,0,26,0.00,1.50,0,INTERVENE,-3.18,0.00,6.50,0,INTERVENE,-4.26,0.00,6.50,0,INTERVENE,-4.20,0.00,6.50,0,INTERVENE,87,141,4.41,8.00,55,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.41,0.71,1.50,47,WATCH,-0.09,0.46,1.50,30,WATCH,-2.40,0.00,1.50,0,INTERVENE,18,254,0.00,8.00,0,INTERVENE,25,254,21,254,10,254,26,254,82,205,4.46,6.00,74,REINFORCE,100,254,0.50,0.50,100,MODEL,84,254,1.19,2.50,48,WATCH,41,0.41,1.00,41,WATCH,73,0.73,1.00,73,REINFORCE,42,0.80,1.00,80,MODEL,79,53,0.77,4.50,17,INTERVENE,37,43,0.33,1.50,22,INTERVENE,4,48,0.00,1.00,0,INTERVENE,0,48,96,48,0,48,0.00,1.00,0,INTERVENE,85,48,15,48,31,48,0.13,1.00,13,INTERVENE,14,0.14,1.00,14,INTERVENE,0,100,61,34
Kensington High School,570,5700,HS,High School,2501 Coral St.,Philadelphia,PA,19125,215-400-7700,215-400-7701,District,N/A,547,philasd.org/kensingtonhs,'9-12',Neighborhood,HS-1,Network 5,Network 4,,15,14.23,98.00,INTERVENE,15th out of 19,77th out of 85,0,0.00,30.00,INTERVENE,14th out of 14,72nd out of 72,13,4.92,38.00,INTERVENE,18th out of 19,81st out of 85,42,8.34,20.00,WATCH,12th out of 19,68th out of 85,10,0.97,10.00,INTERVENE,13th out of 19,70th out of 82,3,116,0.00,8.00,0,INTERVENE,4,93,0,116,0.00,1.50,0,INTERVENE,3,110,0.00,8.00,0,INTERVENE,0,110,0.00,1.50,0,INTERVENE,3,118,0.00,8.00,0,INTERVENE,0,118,0.00,1.50,0,INTERVENE,1,96,0.00,1.50,0,INTERVENE,-5.03,0.00,6.50,0,INTERVENE,-1.78,0.00,6.50,0,INTERVENE,-6.63,0.00,6.50,0,INTERVENE,82,283,3.10,8.00,39,WATCH,33,61,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.45,0.73,1.50,48,WATCH,1.18,1.09,1.50,73,REINFORCE,-2.34,0.00,1.50,0,INTERVENE,19,628,0.00,8.00,0,INTERVENE,20,628,12,628,10,628,40,628,83,464,4.52,6.00,75,MODEL,100,628,0.50,0.50,100,MODEL,92,628,1.80,2.50,72,REINFORCE,43,0.43,1.00,43,WATCH,70,0.70,1.00,70,REINFORCE,25,0.38,1.00,38,WATCH,61,111,0.00,4.50,0,INTERVENE,21,77,0.00,1.50,0,INTERVENE,14,80,0.09,1.00,9,INTERVENE,21,80,65,80,0,80,0.00,1.00,0,INTERVENE,76,80,24,80,55,80,0.60,1.00,60,REINFORCE,28,0.28,1.00,28,WATCH,8,89,77,44
Central High School,601,6010,HS,High School,1700 W. Olney Ave.,Philadelphia,PA,19141,215-400-3590,215-400-3591,District,N/A,2398,philasd.org/centralhs,'9-12',Special Admit,HS-6,Network 1,Network 1,,85,77.06,90.50,MODEL,1st out of 10,1st out of 85,95,27.21,28.50,MODEL,2nd out of 10,2nd out of 72,71,22.68,32.00,REINFORCE,4th out of 10,17th out of 85,91,18.16,20.00,MODEL,2nd out of 10,4th out of 85,90,9.00,10.00,MODEL,3rd out of 10,3rd out of 82,92,244,7.18,8.00,90,MODEL,92,236,55,244,1.50,1.50,100,MODEL,96,616,7.58,8.00,95,MODEL,60,616,1.50,1.50,100,MODEL,100,627,7.95,8.00,99,MODEL,34,627,1.50,1.50,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.27,1.58,6.50,24,INTERVENE,1.22,4.81,6.50,74,REINFORCE,3.53,6.50,6.50,100,MODEL,98,1801,7.48,8.00,94,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.84,0.08,1.50,5,INTERVENE,0.46,0.73,1.50,49,WATCH,4.88,1.50,1.50,100,MODEL,86,2405,8.00,8.00,100,MODEL,9,2405,3,2405,1,2405,1,2405,99,2344,6.00,6.00,100,MODEL,99,2405,0.46,0.50,91,MODEL,98,2405,2.31,2.50,92,MODEL,52,0.52,1.00,52,REINFORCE,79,0.79,1.00,79,MODEL,13,0.08,1.00,8,INTERVENE,98,557,4.21,4.50,94,MODEL,89,548,1.50,1.50,100,MODEL,61,549,1.00,1.00,100,MODEL,13,549,26,549,95,549,1.00,1.00,100,MODEL,4,549,0,549,93,549,1.00,1.00,100,MODEL,29,0.29,1.00,29,WATCH,62,38,81,47
Roxborough High School,603,6030,HS,High School,6498 Ridge Ave.,Philadelphia,PA,19128,215-400-3400,215-400-3401,District,N/A,735,philasd.org/roxboroughhs,'9-12',Neighborhood,HS-3,Network 4,Network 4,,17,16.82,96.50,INTERVENE,24th out of 24,75th out of 85,0,0.04,28.50,INTERVENE,20th out of 21,66th out of 72,16,5.95,38.00,INTERVENE,23rd out of 24,78th out of 85,47,9.49,20.00,WATCH,22nd out of 24,63rd out of 85,13,1.33,10.00,INTERVENE,23rd out of 23,64th out of 82,2,295,0.00,8.00,0,INTERVENE,1,242,0,295,0.02,1.50,1,INTERVENE,4,298,0.00,8.00,0,INTERVENE,0,298,0.02,1.50,1,INTERVENE,18,147,0.00,8.00,0,INTERVENE,0,147,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-9.26,0.00,6.50,0,INTERVENE,-7.57,0.00,6.50,0,INTERVENE,-2.22,0.00,6.50,0,INTERVENE,86,415,4.14,8.00,52,REINFORCE,47,30,0.80,6.00,13,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.39,0.70,1.50,46,WATCH,-0.37,0.32,1.50,21,INTERVENE,-1.93,0.00,1.50,0,INTERVENE,28,824,1.21,8.00,15,INTERVENE,28,824,15,824,9,824,21,824,85,684,5.96,6.00,99,MODEL,96,824,0.29,0.50,59,REINFORCE,78,824,0.70,2.50,28,WATCH,45,0.45,1.00,45,WATCH,71,0.71,1.00,71,REINFORCE,17,0.17,1.00,17,INTERVENE,70,171,0.00,4.50,0,INTERVENE,43,132,0.50,1.50,33,WATCH,17,151,0.16,1.00,16,INTERVENE,30,151,53,151,3,151,0.00,1.00,0,INTERVENE,75,151,23,151,45,151,0.40,1.00,40,WATCH,27,0.27,1.00,27,WATCH,2,96,48,45
Walter B. Saul High School,604,6040,HS,High School,7100 Henry Ave.,Philadelphia,PA,19128,215-400-3450,215-400-3451,District,N/A,494,philasd.org/saul,'9-12',Special Admit,HS-5,Network 4,Network 1,,31,27.84,90.50,WATCH,14th out of 14,54th out of 85,7,2.05,28.50,INTERVENE,11th out of 14,36th out of 72,24,7.72,32.00,INTERVENE,14th out of 14,66th out of 85,59,11.79,20.00,REINFORCE,12th out of 14,43rd out of 85,63,6.29,10.00,REINFORCE,9th out of 14,17th out of 82,12,95,0.00,8.00,0,INTERVENE,12,95,4,95,0.25,1.50,17,INTERVENE,19,123,0.00,8.00,0,INTERVENE,2,123,0.15,1.50,10,INTERVENE,36,125,1.60,8.00,20,INTERVENE,1,125,0.05,1.50,3,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.71,0.00,6.50,0,INTERVENE,-4.26,0.00,6.50,0,INTERVENE,-1.68,0.00,6.50,0,INTERVENE,97,344,7.22,8.00,90,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.20,0.00,1.50,0,INTERVENE,-0.01,0.50,1.50,33,WATCH,-1.03,0.00,1.50,0,INTERVENE,34,497,2.18,8.00,27,WATCH,38,497,13,497,7,497,8,497,96,465,6.00,6.00,100,MODEL,99,497,0.45,0.50,90,MODEL,93,497,1.88,2.50,75,MODEL,43,0.43,1.00,43,WATCH,82,0.82,1.00,82,MODEL,11,0.03,1.00,3,INTERVENE,95,119,3.59,4.50,80,MODEL,51,113,0.72,1.50,48,WATCH,48,52,0.95,1.00,95,MODEL,48,52,4,52,7,113,0.00,1.00,0,INTERVENE,84,113,9,113,65,113,0.79,1.00,79,MODEL,24,0.24,1.00,24,INTERVENE,0,100,73,34
Philadelphia High School for Girls,605,6050,HS,High School,1400 W. Olney Ave.,Philadelphia,PA,19141,215-400-3700,215-400-3701,District,N/A,842,philasd.org/girlshs,'9-12',Special Admit,HS-5,Network 1,Network 1,,68,65.49,96.50,REINFORCE,3rd out of 14,8th out of 85,46,13.24,28.50,WATCH,4th out of 14,11th out of 72,84,32.02,38.00,MODEL,1st out of 14,9th out of 85,69,13.90,20.00,REINFORCE,11th out of 14,30th out of 85,63,6.33,10.00,REINFORCE,8th out of 14,15th out of 82,43,210,2.29,8.00,29,WATCH,45,108,11,210,0.69,1.50,46,WATCH,52,238,3.17,8.00,40,WATCH,18,238,1.06,1.50,71,REINFORCE,77,221,5.74,8.00,72,REINFORCE,5,221,0.30,1.50,20,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,1.57,5.57,6.50,86,MODEL,5.71,6.50,6.50,100,MODEL,2.31,6.50,6.50,100,MODEL,87,526,4.55,8.00,57,REINFORCE,90,31,6.00,6.00,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.31,0.66,1.50,44,WATCH,1.31,1.16,1.50,77,MODEL,1.18,1.09,1.50,73,REINFORCE,53,856,5.29,8.00,66,REINFORCE,25,856,11,856,4,856,7,856,97,810,6.00,6.00,100,MODEL,100,856,0.48,0.50,97,MODEL,96,856,2.13,2.50,85,MODEL,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,5,0.00,1.00,0,INTERVENE,93,269,3.30,4.50,73,REINFORCE,74,252,1.34,1.50,89,MODEL,23,255,0.33,1.00,33,WATCH,22,255,55,255,25,255,0.37,1.00,37,WATCH,73,255,3,255,80,255,1.00,1.00,100,MODEL,0,0.00,1.00,0,INTERVENE,63,38,47,0
Martin Luther King High School,606,6060,HS,High School,6100 Stenton Ave.,Philadelphia,PA,19138,215-400-3500,215-400-3501,District,Acceleration,537,philasd.org/mlkhs,'9-12',Neighborhood,HS-2,Network 11,Network 4,,8,7.29,96.50,INTERVENE,10th out of 10,85th out of 85,0,0.05,28.50,INTERVENE,5th out of 7,63rd out of 72,10,3.67,38.00,INTERVENE,10th out of 10,82nd out of 85,15,3.00,20.00,INTERVENE,9th out of 10,84th out of 85,6,0.56,10.00,INTERVENE,7th out of 8,78th out of 82,2,126,0.00,8.00,0,INTERVENE,1,83,1,126,0.05,1.50,3,INTERVENE,12,94,0.00,8.00,0,INTERVENE,0,94,0.00,1.50,0,INTERVENE,14,102,0.00,8.00,0,INTERVENE,0,102,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.80,0.00,6.50,0,INTERVENE,-1.04,0.00,6.50,0,INTERVENE,-3.99,0.00,6.50,0,INTERVENE,80,230,2.67,8.00,33,WATCH,41,51,0.14,6.00,2,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.45,0.28,1.50,18,INTERVENE,0.18,0.59,1.50,39,WATCH,-2.13,0.00,1.50,0,INTERVENE,28,708,1.23,8.00,15,INTERVENE,20,708,14,708,9,708,29,708,72,468,0.00,6.00,0,INTERVENE,100,708,0.50,0.50,100,MODEL,80,708,0.86,2.50,35,WATCH,41,0.41,1.00,41,WATCH,0,0.00,1.00,0,INTERVENE,6,0.00,1.00,0,INTERVENE,49,167,0.00,4.50,0,INTERVENE,34,96,0.26,1.50,17,INTERVENE,4,124,0.00,1.00,0,INTERVENE,3,124,93,124,0,124,0.00,1.00,0,INTERVENE,58,124,42,124,31,124,0.11,1.00,11,INTERVENE,20,0.20,1.00,20,INTERVENE,0,100,46,36
A. Philip Randolph Career and Technical High School,609,6090,HS,High School,3101 Henry Ave.,Philadelphia,PA,19129,215-400-3840,215-400-3841,District,N/A,415,philasd.org/randolph,'9-12',Citywide,HS-3,Network 4,Network 4,,22,21.29,96.50,INTERVENE,22nd out of 24,65th out of 85,0,0.00,28.50,INTERVENE,21st out of 21,72nd out of 72,32,12.17,38.00,WATCH,16th out of 24,49th out of 85,37,7.48,20.00,WATCH,23rd out of 24,71st out of 85,16,1.64,10.00,INTERVENE,21st out of 23,60th out of 82,0,186,0.00,8.00,0,INTERVENE,0,61,0,186,0.00,1.50,0,INTERVENE,1,89,0.00,8.00,0,INTERVENE,0,89,0.00,1.50,0,INTERVENE,8,111,0.00,8.00,0,INTERVENE,0,111,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.87,0.00,6.50,0,INTERVENE,-6.68,0.00,6.50,0,INTERVENE,-4.47,0.00,6.50,0,INTERVENE,88,217,4.93,8.00,62,REINFORCE,92,26,6.00,6.00,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.32,1.16,1.50,77,MODEL,-0.84,0.08,1.50,5,INTERVENE,-2.51,0.00,1.50,0,INTERVENE,22,432,0.36,8.00,4,INTERVENE,25,432,15,432,10,432,27,432,83,347,4.80,6.00,80,MODEL,100,432,0.50,0.50,100,MODEL,87,432,1.40,2.50,56,REINFORCE,43,0.43,1.00,43,WATCH,0,0.00,1.00,0,INTERVENE,2,0.00,1.00,0,INTERVENE,77,100,0.36,4.50,8,INTERVENE,15,79,0.00,1.50,0,INTERVENE,49,84,0.97,1.00,97,MODEL,33,84,18,84,0,89,0.00,1.00,0,INTERVENE,80,89,20,89,26,89,0.02,1.00,2,INTERVENE,29,0.29,1.00,29,WATCH,0,100,60,35
Hill-Freedman World Academy,646,6460,HS,High School,1100 E. Mt. Pleasant Ave.,Philadelphia,PA,19150,215-400-3530,215-400-3531,District,N/A,419,philasd.org/hfwa,'9-12',Special Admit,HS-3,Network 1,Network 1,,58,52.54,90.50,REINFORCE,3rd out of 24,15th out of 85,38,10.82,28.50,WATCH,1st out of 21,13th out of 72,68,21.65,32.00,REINFORCE,7th out of 24,20th out of 85,86,17.13,20.00,MODEL,2nd out of 24,10th out of 85,29,2.93,10.00,WATCH,14th out of 23,49th out of 82,22,85,0.24,8.00,3,INTERVENE,23,79,2,85,0.14,1.50,9,INTERVENE,57,93,3.70,8.00,46,WATCH,19,93,1.16,1.50,77,MODEL,71,102,5.06,8.00,63,REINFORCE,9,102,0.53,1.50,35,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-9.24,0.00,6.50,0,INTERVENE,3.50,6.50,6.50,100,MODEL,7.76,6.50,6.50,100,MODEL,93,255,6.01,8.00,75,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.42,0.00,1.50,0,INTERVENE,1.28,1.14,1.50,76,MODEL,2.96,1.50,1.50,100,MODEL,64,422,7.11,8.00,89,MODEL,22,422,7,422,4,422,4,422,97,398,6.00,6.00,100,MODEL,100,422,0.50,0.50,100,MODEL,96,422,2.16,2.50,87,MODEL,48,0.48,1.00,48,WATCH,80,0.80,1.00,80,MODEL,13,0.07,1.00,7,INTERVENE,77,103,0.31,4.50,7,INTERVENE,54,98,0.79,1.50,53,REINFORCE,40,121,0.74,1.00,74,REINFORCE,21,121,39,121,19,121,0.23,1.00,23,INTERVENE,43,121,38,121,55,121,0.61,1.00,61,REINFORCE,26,0.26,1.00,26,WATCH,5,93,62,49
