School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
The LINC,566,5660,HS,High School,122 W. Erie Ave.,Philadelphia,PA,19140,215-400-3940,215-400-3941,District,N/A,265,philasd.org/thelinc,'9-12',Citywide,HS-2,Innovation,Innovation,22,19.84,92,INTERVENE,14th out of 17,63rd out of 83,0,0.08,30,INTERVENE,13th out of 17,63rd out of 77,25,7.95,32,WATCH,10th out of 17,52nd out of 83,45,8.92,20,WATCH,11th out of 17,58th out of 83,29,2.88,10,WATCH,12th out of 16,54th out of 81,5,126,0,8,0,INTERVENE,0,54,0,126,0,1.5,0,INTERVENE,4,67,0,8,0,INTERVENE,0,67,0,1.5,0,INTERVENE,14,72,0,8,0,INTERVENE,1,72,0.08,1.5,6,INTERVENE,0,35,0,1.5,0,INTERVENE,-4.49,0,6.5,0,INTERVENE,-0.79,0.46,6.5,7,INTERVENE,-1.59,0,6.5,0,INTERVENE,93,152,6.07,8,76,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.17,0,1.5,0,INTERVENE,1.17,1.09,1.5,72,REINFORCE,-0.31,0.35,1.5,23,INTERVENE,28,276,1.32,8,17,INTERVENE,26,276,19,276,8,276,19,276,82,258,4.3,6,72,REINFORCE,99,276,0.45,0.5,89,MODEL,98,276,2.32,2.5,93,MODEL,53,0.53,1,53,REINFORCE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,83,70,1.41,4.5,31,WATCH,41,58,0.45,1.5,30,WATCH,0,59,0,1,0,INTERVENE,0,59,100,59,3,59,0,1,0,INTERVENE,90,59,7,59,63,59,0.75,1,75,MODEL,26,0.26,1,26,WATCH,Data Not Available,Data Not Available,61,47
Kensington High School,570,5700,HS,High School,2501 Coral St.,Philadelphia,PA,19125,215-400-7700,215-400-7701,District,N/A,579,philasd.org/kensingtonhs,'9-12',Neighborhood,HS-1,Network 5,Network 5,8,7.72,98,INTERVENE,19th out of 23,79th out of 83,0,0.04,30,INTERVENE,13th out of 19,69th out of 77,10,3.68,38,INTERVENE,21st out of 23,80th out of 83,18,3.61,20,INTERVENE,14th out of 23,74th out of 83,4,0.4,10,INTERVENE,20th out of 22,79th out of 81,5,283,0,8,0,INTERVENE,4,113,0,283,0,1.5,0,INTERVENE,3,143,0,8,0,INTERVENE,1,143,0.04,1.5,3,INTERVENE,12,119,0,8,0,INTERVENE,0,119,0,1.5,0,INTERVENE,1,98,0,1.5,0,INTERVENE,-3.1,0,6.5,0,INTERVENE,-5.18,0,6.5,0,INTERVENE,-6.65,0,6.5,0,INTERVENE,83,263,3.34,8,42,WATCH,42,66,0.29,6,5,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.25,0,1.5,0,INTERVENE,-0.9,0.05,1.5,3,INTERVENE,-2.17,0,1.5,0,INTERVENE,25,676,0.75,8,9,INTERVENE,17,676,12,676,9,676,37,676,75,542,0,6,0,INTERVENE,100,676,0.5,0.5,100,MODEL,92,676,1.87,2.5,75,MODEL,48,0.48,1,48,WATCH,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,63,142,0,4.5,0,INTERVENE,21,94,0,1.5,0,INTERVENE,1,100,0,1,0,INTERVENE,13,100,86,100,2,100,0,1,0,INTERVENE,63,100,35,100,29,100,0.08,1,8,INTERVENE,32,0.32,1,32,WATCH,Data Not Available,Data Not Available,69,39
Central High School,601,6010,HS,High School,1700 W. Olney Ave.,Philadelphia,PA,19141,215-400-3590,215-400-3591,District,N/A,2386,philasd.org/centralhs,'9-12',Special Admit,HS-5,Autonomy,Network 1,95,85.78,90.5,MODEL,1st out of 9,1st out of 83,96,27.47,28.5,MODEL,2nd out of 9,2nd out of 77,97,31.02,32,MODEL,2nd out of 9,3rd out of 83,91,18.2,20,MODEL,3rd out of 9,6th out of 83,91,9.08,10,MODEL,2nd out of 9,2nd out of 81,95,314,7.52,8,94,MODEL,96,301,62,314,1.5,1.5,100,MODEL,95,667,7.54,8,94,MODEL,65,667,1.5,1.5,100,MODEL,99,568,7.91,8,99,MODEL,41,568,1.5,1.5,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,4.45,6.5,6.5,100,MODEL,3.38,6.5,6.5,100,MODEL,1.65,5.74,6.5,88,MODEL,99,1703,7.78,8,97,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.4,1.5,1.5,100,MODEL,2.53,1.5,1.5,100,MODEL,5.4,1.5,1.5,100,MODEL,85,2392,8,8,100,MODEL,10,2392,3,2392,1,2392,1,2392,99,2341,6,6,100,MODEL,99,2392,0.47,0.5,95,MODEL,98,2392,2.37,2.5,95,MODEL,57,0.57,1,57,REINFORCE,78,0.78,1,78,MODEL,11,0.02,1,2,INTERVENE,100,558,4.44,4.5,99,MODEL,91,557,1.5,1.5,100,MODEL,42,557,0.8,1,80,MODEL,27,557,32,557,94,557,1,1,100,MODEL,5,557,1,557,90,557,1,1,100,MODEL,35,0.35,1,35,WATCH,Data Not Available,Data Not Available,82,47
Roxborough High School,603,6030,HS,High School,6498 Ridge Ave.,Philadelphia,PA,19128,215-400-3400,215-400-3401,District,N/A,652,philasd.org/roxboroughhs,'9-12',Neighborhood,HS-1,Network 6,Network 4,14,13.08,90.5,INTERVENE,10th out of 23,69th out of 83,0,0,28.5,INTERVENE,19th out of 19,77th out of 77,17,5.56,32,INTERVENE,11th out of 23,68th out of 83,29,5.8,20,WATCH,11th out of 23,69th out of 83,17,1.72,10,INTERVENE,5th out of 22,61st out of 81,4,310,0,8,0,INTERVENE,2,132,0,310,0,1.5,0,INTERVENE,2,301,0,8,0,INTERVENE,0,301,0,1.5,0,INTERVENE,11,158,0,8,0,INTERVENE,0,158,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.61,0,6.5,0,INTERVENE,-10.57,0,6.5,0,INTERVENE,-7.02,0,6.5,0,INTERVENE,88,345,4.75,8,59,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.61,0.81,1.5,54,REINFORCE,-1.54,0,1.5,0,INTERVENE,-4.46,0,1.5,0,INTERVENE,27,731,1.16,8,14,INTERVENE,30,731,15,731,8,731,20,731,80,620,3.29,6,55,REINFORCE,91,731,0.06,0.5,12,INTERVENE,79,731,0.78,2.5,31,WATCH,51,0.51,1,51,REINFORCE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,73,165,0,4.5,0,INTERVENE,49,126,0.66,1.5,44,WATCH,9,141,0,1,0,INTERVENE,55,141,36,141,3,141,0,1,0,INTERVENE,74,141,23,141,60,141,0.71,1,71,REINFORCE,36,0.36,1,36,WATCH,Data Not Available,Data Not Available,57,42
Walter B. Saul High School,604,6040,HS,High School,7100 Henry Ave.,Philadelphia,PA,19128,215-400-3450,215-400-3451,District,N/A,506,philasd.org/saul,'9-12',Special Admit,HS-4,Autonomy,Network 4,35,32.02,90.5,WATCH,9th out of 9,39th out of 83,10,2.8,28.5,INTERVENE,9th out of 9,32nd out of 77,23,7.3,32,INTERVENE,9th out of 9,55th out of 83,79,15.73,20,MODEL,7th out of 9,19th out of 83,62,6.19,10,REINFORCE,8th out of 9,19th out of 81,12,235,0,8,0,INTERVENE,11,129,1,235,0.05,1.5,3,INTERVENE,24,126,0.38,8,5,INTERVENE,2,126,0.1,1.5,6,INTERVENE,41,126,2.13,8,27,WATCH,2,126,0.14,1.5,10,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-8.3,0,6.5,0,INTERVENE,-5.53,0,6.5,0,INTERVENE,-2.47,0,6.5,0,INTERVENE,97,382,7.3,8,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.97,0,1.5,0,INTERVENE,-1.97,0,1.5,0,INTERVENE,-3.81,0,1.5,0,INTERVENE,57,508,5.84,8,73,REINFORCE,28,508,7,508,4,508,4,508,92,495,6,6,100,MODEL,100,508,0.5,0.5,100,MODEL,94,508,1.98,2.5,79,MODEL,52,0.52,1,52,REINFORCE,85,0.85,1,85,MODEL,12,0.05,1,5,INTERVENE,94,85,3.44,4.5,76,MODEL,58,80,0.89,1.5,59,REINFORCE,34,32,0.61,1,61,REINFORCE,56,32,9,32,4,80,0,1,0,INTERVENE,93,80,4,80,71,80,0.93,1,93,MODEL,33,0.33,1,33,WATCH,Data Not Available,Data Not Available,75,33
Philadelphia High School for Girls,605,6050,HS,High School,1400 W. Olney Ave.,Philadelphia,PA,19141,215-400-3700,215-400-3701,District,N/A,990,philasd.org/girlshs,'9-12',Special Admit,HS-4,Autonomy,Network 1,72,65.16,90.5,REINFORCE,2nd out of 9,6th out of 83,48,13.66,28.5,WATCH,2nd out of 9,9th out of 77,85,27.15,32,MODEL,1st out of 9,7th out of 83,85,16.97,20,MODEL,4th out of 9,12th out of 83,74,7.37,10,REINFORCE,2nd out of 9,9th out of 81,44,355,2.37,8,30,WATCH,47,187,8,355,0.46,1.5,30,WATCH,51,387,3.12,8,39,WATCH,12,387,0.71,1.5,48,WATCH,84,241,6.38,8,80,MODEL,10,241,0.62,1.5,41,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.94,4.2,6.5,65,REINFORCE,3.83,6.5,6.5,100,MODEL,6.44,6.5,6.5,100,MODEL,93,690,6.22,8,78,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.7,0.85,1.5,57,REINFORCE,1.76,1.38,1.5,92,MODEL,4.06,1.5,1.5,100,MODEL,61,995,6.61,8,83,MODEL,22,995,10,995,3,995,4,995,96,961,6,6,100,MODEL,100,995,0.5,0.5,100,MODEL,97,995,2.27,2.5,91,MODEL,51,0.51,1,51,REINFORCE,61,0.61,1,61,REINFORCE,29,0.47,1,47,WATCH,97,236,4.04,4.5,90,MODEL,88,232,1.5,1.5,100,MODEL,8,233,0,1,0,INTERVENE,36,233,57,233,29,233,0.47,1,47,WATCH,71,233,0,233,90,233,1,1,100,MODEL,36,0.36,1,36,WATCH,Data Not Available,Data Not Available,63,41
Martin Luther King High School,606,6060,HS,High School,6100 Stenton Ave.,Philadelphia,PA,19138,215-400-3500,215-400-3501,District,Turnaround,667,philasd.org/mlkhs,'9-12',Neighborhood,HS-1,Turnaround,Network 11,10,9.79,96.5,INTERVENE,15th out of 23,75th out of 83,0,0,28.5,INTERVENE,19th out of 19,77th out of 77,19,7.16,38,INTERVENE,8th out of 23,63rd out of 83,12,2.37,20,INTERVENE,16th out of 23,76th out of 83,3,0.26,10,INTERVENE,21st out of 22,80th out of 81,1,173,0,8,0,INTERVENE,1,134,0,173,0,1.5,0,INTERVENE,2,127,0,8,0,INTERVENE,0,127,0,1.5,0,INTERVENE,16,135,0,8,0,INTERVENE,0,135,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.84,0,6.5,0,INTERVENE,-3.86,0,6.5,0,INTERVENE,0.14,2.47,6.5,38,WATCH,86,256,4.35,8,54,REINFORCE,33,57,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.81,0.1,1.5,6,INTERVENE,-1.52,0,1.5,0,INTERVENE,-0.51,0.25,1.5,16,INTERVENE,16,838,0,8,0,INTERVENE,17,838,15,838,11,838,41,838,65,586,0,6,0,INTERVENE,100,838,0.5,0.5,100,MODEL,78,838,0.64,2.5,26,WATCH,45,0.45,1,45,WATCH,74,0.74,1,74,REINFORCE,11,0.03,1,3,INTERVENE,48,155,0,4.5,0,INTERVENE,21,97,0,1.5,0,INTERVENE,2,131,0,1,0,INTERVENE,5,131,92,131,1,131,0,1,0,INTERVENE,55,131,44,131,23,131,0,1,0,INTERVENE,26,0.26,1,26,WATCH,Data Not Available,Data Not Available,48,29
A. Philip Randolph Career and Technical High School,609,6090,HS,High School,3101 Henry Ave.,Philadelphia,PA,19129,215-400-3840,215-400-3841,District,N/A,493,philasd.org/randolph,'9-12',Citywide,HS-2,Network 4,Network 4,25,22.69,90.5,WATCH,12th out of 17,56th out of 83,0,0.06,28.5,INTERVENE,14th out of 17,65th out of 77,24,7.62,32,INTERVENE,11th out of 17,53rd out of 83,58,11.52,20,REINFORCE,8th out of 17,48th out of 83,35,3.49,10,WATCH,9th out of 16,46th out of 81,6,182,0,8,0,INTERVENE,5,94,0,182,0,1.5,0,INTERVENE,2,95,0,8,0,INTERVENE,1,95,0.06,1.5,4,INTERVENE,18,112,0,8,0,INTERVENE,0,112,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.46,0,6.5,0,INTERVENE,-3.86,0,6.5,0,INTERVENE,0.23,2.67,6.5,41,WATCH,85,294,4.1,8,51,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.88,0.06,1.5,4,INTERVENE,0.1,0.55,1.5,37,WATCH,-0.51,0.25,1.5,16,INTERVENE,42,515,3.48,8,44,WATCH,25,515,12,515,6,515,15,515,84,482,5.29,6,88,MODEL,100,515,0.5,0.5,100,MODEL,90,515,1.69,2.5,68,REINFORCE,56,0.56,1,56,REINFORCE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,87,132,2.18,4.5,48,WATCH,22,117,0,1.5,0,INTERVENE,38,114,0.69,1,69,REINFORCE,17,114,46,114,2,129,0,1,0,INTERVENE,76,129,22,129,34,129,0.18,1,18,INTERVENE,43,0.43,1,43,WATCH,Data Not Available,Data Not Available,64,36
Hill-Freedman World Academy,646,6460,HS,High School,1100 E. Mt. Pleasant Ave.,Philadelphia,PA,19150,215-400-3530,215-400-3531,District,N/A,389,philasd.org/hfwa,'9-12',Special Admit,HS-3,Autonomy,Network 1,50,45.2,90.5,REINFORCE,4th out of 15,20th out of 83,33,9.51,28.5,WATCH,1st out of 15,14th out of 77,43,13.7,32,WATCH,9th out of 15,38th out of 83,86,17.22,20,MODEL,1st out of 15,10th out of 83,48,4.77,10,WATCH,5th out of 15,29th out of 81,20,152,0.04,8,0,INTERVENE,15,100,0,152,0,1.5,0,INTERVENE,39,140,1.86,8,23,INTERVENE,9,140,0.51,1.5,34,WATCH,80,60,6,8,75,MODEL,18,60,1.1,1.5,73,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-8.1,0,6.5,0,INTERVENE,-1.06,0,6.5,0,INTERVENE,4.99,6.5,6.5,100,MODEL,91,252,5.57,8,70,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.1,0,1.5,0,INTERVENE,-0.02,0.49,1.5,33,WATCH,1.29,1.15,1.5,76,MODEL,69,395,7.86,8,98,MODEL,22,395,5,395,2,395,3,395,95,378,6,6,100,MODEL,99,395,0.47,0.5,95,MODEL,98,395,2.33,2.5,93,MODEL,56,0.56,1,56,REINFORCE,0,0,1,0,INTERVENE,5,0,1,0,INTERVENE,85,87,1.81,4.5,40,WATCH,81,78,1.5,1.5,100,MODEL,0,103,0,1,0,INTERVENE,1,103,99,103,21,103,0.28,1,28,WATCH,52,103,26,103,67,103,0.84,1,84,MODEL,33,0.33,1,33,WATCH,Data Not Available,Data Not Available,63,49
Lankenau High School,654,6540,HS,High School,201 Spring Lane,Philadelphia,PA,19128,215-400-3420,215-400-3421,District,N/A,348,philasd.org/lankenau,'9-12',Special Admit,HS-3,Autonomy,Network 4,58,52.76,90.5,REINFORCE,1st out of 15,12th out of 83,9,2.62,28.5,INTERVENE,7th out of 15,34th out of 77,85,27.15,32,MODEL,2nd out of 15,7th out of 83,79,15.74,20,MODEL,3rd out of 15,18th out of 83,72,7.24,10,REINFORCE,1st out of 15,10th out of 81,11,227,0,8,0,INTERVENE,18,66,0,227,0,1.5,0,INTERVENE,26,167,0.64,8,8,INTERVENE,3,167,0.18,1.5,12,INTERVENE,38,155,1.81,8,23,INTERVENE,0,155,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,1.39,5.18,6.5,80,MODEL,3.72,6.5,6.5,100,MODEL,1.32,5.03,6.5,77,MODEL,95,257,6.75,8,84,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.35,1.18,1.5,78,MODEL,2.38,1.5,1.5,100,MODEL,1.04,1.02,1.5,68,REINFORCE,53,352,5.3,8,66,REINFORCE,26,352,10,352,5,352,6,352,94,339,6,6,100,MODEL,100,352,0.5,0.5,100,MODEL,91,352,1.79,2.5,72,REINFORCE,62,0.62,1,62,REINFORCE,82,0.82,1,82,MODEL,38,0.71,1,71,REINFORCE,100,69,4.5,4.5,100,MODEL,70,70,1.23,1.5,82,MODEL,0,69,0,1,0,INTERVENE,51,69,49,69,13,69,0.08,1,8,INTERVENE,84,69,3,69,75,69,1,1,100,MODEL,44,0.44,1,44,WATCH,Data Not Available,Data Not Available,89,50
Frankford High School,701,7010,HS,High School,5000 Oxford Ave.,Philadelphia,PA,19124,215-400-7200,215-400-7201,District,N/A,955,philasd.org/frankfordhs,'9-12',Neighborhood,HS-1,Network 9,Network 8,12,11.39,98,INTERVENE,14th out of 23,74th out of 83,0,0.06,30,INTERVENE,12th out of 19,67th out of 77,15,5.84,38,INTERVENE,14th out of 23,71st out of 83,24,4.76,20,INTERVENE,12th out of 23,70th out of 83,7,0.74,10,INTERVENE,13th out of 22,72nd out of 81,4,283,0,8,0,INTERVENE,2,118,0,283,0.02,1.5,1,INTERVENE,4,176,0,8,0,INTERVENE,1,176,0.03,1.5,2,INTERVENE,15,179,0,8,0,INTERVENE,0,179,0,1.5,0,INTERVENE,3,154,0,1.5,0,INTERVENE,-5.73,0,6.5,0,INTERVENE,-3.14,0,6.5,0,INTERVENE,-1.61,0,6.5,0,INTERVENE,85,374,4.08,8,51,REINFORCE,42,138,0.24,6,4,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.94,0.03,1.5,2,INTERVENE,1.39,1.2,1.5,80,MODEL,-0.42,0.29,1.5,19,INTERVENE,21,1163,0.16,8,2,INTERVENE,22,1163,15,1163,9,1163,34,1163,78,880,2.05,6,34,WATCH,92,1163,0.12,0.5,24,INTERVENE,85,1163,1.23,2.5,49,WATCH,50,0.5,1,50,REINFORCE,69,0.69,1,69,REINFORCE,11,0.02,1,2,INTERVENE,55,349,0,4.5,0,INTERVENE,27,229,0.06,1.5,4,INTERVENE,1,215,0,1,0,INTERVENE,13,215,86,215,2,215,0,1,0,INTERVENE,56,215,42,215,41,215,0.32,1,32,WATCH,37,0.37,1,37,WATCH,Data Not Available,Data Not Available,71,47
